Date      , Rainfall_mm, Year, Month    , Day_of_Month, Day_of_Year, Week_of_Year, Is_Weekend, Cumulative_Monsoon_Rainfall_mm, Days_Since_Last_Rain
01-06-2015,         0  , 2015, June     ,            1,         152,           23,          0,                            0  ,                    1
02-06-2015,         0  , 2015, June     ,            2,         153,           23,          0,                            0  ,                    2
03-06-2015,         0  , 2015, June     ,            3,         154,           23,          0,                            0  ,                    3
04-06-2015,         0  , 2015, June     ,            4,         155,           23,          0,                            0  ,                    4
05-06-2015,         0  , 2015, June     ,            5,         156,           23,          0,                            0  ,                    5
06-06-2015,         0  , 2015, June     ,            6,         157,           23,          0,                            0  ,                    6
07-06-2015,         0  , 2015, June     ,            7,         158,           24,          1,                            0  ,                    7
08-06-2015,         0  , 2015, June     ,            8,         159,           24,          0,                            0  ,                    8
09-06-2015,         0  , 2015, June     ,            9,         160,           24,          0,                            0  ,                    9
10-06-2015,         0  , 2015, June     ,           10,         161,           24,          0,                            0  ,                   10
11-06-2015,         0  , 2015, June     ,           11,         162,           24,          0,                            0  ,                   11
12-06-2015,         0  , 2015, June     ,           12,         163,           24,          0,                            0  ,                   12
13-06-2015,         0  , 2015, June     ,           13,         164,           24,          0,                            0  ,                   13
14-06-2015,         0  , 2015, June     ,           14,         165,           25,          1,                            0  ,                   14
15-06-2015,         0  , 2015, June     ,           15,         166,           25,          0,                            0  ,                   15
16-06-2015,         0  , 2015, June     ,           16,         167,           25,          0,                            0  ,                   16
17-06-2015,         0  , 2015, June     ,           17,         168,           25,          0,                            0  ,                   17
18-06-2015,         0  , 2015, June     ,           18,         169,           25,          0,                            0  ,                   18
19-06-2015,         0  , 2015, June     ,           19,         170,           25,          0,                            0  ,                   19
20-06-2015,         0  , 2015, June     ,           20,         171,           25,          0,                            0  ,                   20
21-06-2015,         0  , 2015, June     ,           21,         172,           26,          1,                            0  ,                   21
22-06-2015,         0  , 2015, June     ,           22,         173,           26,          0,                            0  ,                   22
23-06-2015,         0  , 2015, June     ,           23,         174,           26,          0,                            0  ,                   23
24-06-2015,         0  , 2015, June     ,           24,         175,           26,          0,                            0  ,                   24
25-06-2015,         0  , 2015, June     ,           25,         176,           26,          0,                            0  ,                   25
26-06-2015,         0  , 2015, June     ,           26,         177,           26,          0,                            0  ,                   26
27-06-2015,         5.1, 2015, June     ,           27,         178,           26,          0,                            5.1,                    0
28-06-2015,        15.8, 2015, June     ,           28,         179,           27,          1,                           20.9,                    0
29-06-2015,         8.2, 2015, June     ,           29,         180,           27,          0,                           29.1,                    0
30-06-2015,         2.5, 2015, June     ,           30,         181,           27,          0,                           31.6,                    0
01-07-2015,         0  , 2015, July     ,            1,         182,           27,          0,                           31.6,                    1
02-07-2015,         0  , 2015, July     ,            2,         183,           27,          0,                           31.6,                    2
03-07-2015,         0  , 2015, July     ,            3,         184,           27,          0,                           31.6,                    3
04-07-2015,         0  , 2015, July     ,            4,         185,           27,          0,                           31.6,                    4
05-07-2015,         0  , 2015, July     ,            5,         186,           28,          1,                           31.6,                    5
06-07-2015,        12.3, 2015, July     ,            6,         187,           28,          0,                           43.9,                    0
07-07-2015,        25.6, 2015, July     ,            7,         188,           28,          0,                           69.5,                    0
08-07-2015,         5.9, 2015, July     ,            8,         189,           28,          0,                           75.4,                    0
09-07-2015,         0  , 2015, July     ,            9,         190,           28,          0,                           75.4,                    1
10-07-2015,         0  , 2015, July     ,           10,         191,           28,          0,                           75.4,                    2
11-07-2015,         0  , 2015, July     ,           11,         192,           28,          0,                           75.4,                    3
12-07-2015,         0  , 2015, July     ,           12,         193,           29,          1,                           75.4,                    4
13-07-2015,        18.7, 2015, July     ,           13,         194,           29,          0,                           94.1,                    0
14-07-2015,         3.1, 2015, July     ,           14,         195,           29,          0,                           97.2,                    0
15-07-2015,         0  , 2015, July     ,           15,         196,           29,          0,                           97.2,                    1
16-07-2015,         0  , 2015, July     ,           16,         197,           29,          0,                           97.2,                    2
17-07-2015,         0  , 2015, July     ,           17,         198,           29,          0,                           97.2,                    3
18-07-2015,         0  , 2015, July     ,           18,         199,           29,          0,                           97.2,                    4
19-07-2015,         0  , 2015, July     ,           19,         200,           30,          1,                           97.2,                    5
20-07-2015,         0  , 2015, July     ,           20,         201,           30,          0,                           97.2,                    6
21-07-2015,         0  , 2015, July     ,           21,         202,           30,          0,                           97.2,                    7
22-07-2015,         0  , 2015, July     ,           22,         203,           30,          0,                           97.2,                    8
23-07-2015,         0  , 2015, July     ,           23,         204,           30,          0,                           97.2,                    9
24-07-2015,         0  , 2015, July     ,           24,         205,           30,          0,                           97.2,                   10
25-07-2015,         0  , 2015, July     ,           25,         206,           30,          0,                           97.2,                   11
26-07-2015,         0  , 2015, July     ,           26,         207,           31,          1,                           97.2,                   12
27-07-2015,         0  , 2015, July     ,           27,         208,           31,          0,                           97.2,                   13
28-07-2015,         0  , 2015, July     ,           28,         209,           31,          0,                           97.2,                   14
29-07-2015,         0  , 2015, July     ,           29,         210,           31,          0,                           97.2,                   15
30-07-2015,         0  , 2015, July     ,           30,         211,           31,          0,                           97.2,                   16
31-07-2015,         0  , 2015, July     ,           31,         212,           31,          0,                           97.2,                   17
01-08-2015,        15.5, 2015, August   ,            1,         213,           31,          0,                          112.7,                    0
02-08-2015,         2.8, 2015, August   ,            2,         214,           32,          1,                          115.5,                    0
03-08-2015,         0  , 2015, August   ,            3,         215,           32,          0,                          115.5,                    1
04-08-2015,         0  , 2015, August   ,            4,         216,           32,          0,                          115.5,                    2
05-08-2015,         0  , 2015, August   ,            5,         217,           32,          0,                          115.5,                    3
06-08-2015,         0  , 2015, August   ,            6,         218,           32,          0,                          115.5,                    4
07-08-2015,         0  , 2015, August   ,            7,         219,           32,          0,                          115.5,                    5
08-08-2015,         0  , 2015, August   ,            8,         220,           32,          0,                          115.5,                    6
09-08-2015,         0  , 2015, August   ,            9,         221,           33,          1,                          115.5,                    7
10-08-2015,         0  , 2015, August   ,           10,         222,           33,          0,                          115.5,                    8
11-08-2015,         0  , 2015, August   ,           11,         223,           33,          0,                          115.5,                    9
12-08-2015,         0  , 2015, August   ,           12,         224,           33,          0,                          115.5,                   10
13-08-2015,         0  , 2015, August   ,           13,         225,           33,          0,                          115.5,                   11
14-08-2015,         0  , 2015, August   ,           14,         226,           33,          0,                          115.5,                   12
15-08-2015,         0  , 2015, August   ,           15,         227,           33,          0,                          115.5,                   13
16-08-2015,         0  , 2015, August   ,           16,         228,           34,          1,                          115.5,                   14
17-08-2015,         0  , 2015, August   ,           17,         229,           34,          0,                          115.5,                   15
18-08-2015,         0  , 2015, August   ,           18,         230,           34,          0,                          115.5,                   16
19-08-2015,         0  , 2015, August   ,           19,         231,           34,          0,                          115.5,                   17
20-08-2015,         0  , 2015, August   ,           20,         232,           34,          0,                          115.5,                   18
21-08-2015,         0  , 2015, August   ,           21,         233,           34,          0,                          115.5,                   19
22-08-2015,         0  , 2015, August   ,           22,         234,           34,          0,                          115.5,                   20
23-08-2015,         0  , 2015, August   ,           23,         235,           35,          1,                          115.5,                   21
24-08-2015,         0  , 2015, August   ,           24,         236,           35,          0,                          115.5,                   22
25-08-2015,         0  , 2015, August   ,           25,         237,           35,          0,                          115.5,                   23
26-08-2015,         0  , 2015, August   ,           26,         238,           35,          0,                          115.5,                   24
